Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,coupling,model
Run_FL16_ISC5_coupling_80_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,80,1
Run_FL16_ISC5_coupling_100_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,100,1
Run_FL16_ISC5_coupling_150_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,150,1
Run_FL16_ISC5_coupling_200_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,200,1
Run_FL16_ISC5_coupling_250_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,250,1
Run_FL16_ISC5_coupling_300_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.010292498803079147,0.0029592497340425357,0.6870924101095841,0.2580759729358407,0.33831820567153875,16,5,300,1
Run_FL16_ISC2_coupling_20_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,20,1
Run_FL16_ISC2_coupling_40_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,40,1
Run_FL16_ISC2_coupling_60_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,60,1
Run_FL16_ISC2_coupling_80_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,80,1
Run_FL16_ISC2_coupling_100_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,100,1
Run_FL16_ISC2_coupling_150_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,150,1
Run_FL16_ISC2_coupling_200_model_1,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.016461778407377486,0.0029529925612063624,0.6872062155017028,0.41185945093176557,0.3682588817695796,16,2,200,1
