Wavelength (nm),Simulation
-376066.25,0.00225274925396783
-187700.34375,0.002252697328254764
-125059.7890625,0.0022526457746209387
-93767.203125,0.002252594423010266
-75000.5,0.0022525434567440793
-62493.05078125,0.002252492749476359
-53560.96484375,0.0022524422548874795
-46862.88671875,0.0022523920665952746
-41653.8515625,0.002252342134365785
-37486.99609375,0.0022522925170227605
-34077.9921875,0.002252243193254823
-31237.322265625,0.0022521940470454477
-28833.798828125,0.0022521451979993002
-26773.720703125,0.0022520966461163808
-24988.38671875,0.002252048325070465
-23426.267578125,0.0022520002117017404
-22047.96484375,0.0022519524555160396
-20822.837890625,0.002251904876019049
-19726.6953125,0.002251857582703403
-18740.185546875,0.0022518105085904887
-17847.646484375,0.0022517636602041985
-17036.259765625,0.002251717112678006
-16295.4384765625,0.0022516708525292055
-15616.361328125,0.002251624726990019
-14991.619140625,0.0022515789322120985
-14414.939453125,0.0022515332977044293
-13880.9833984375,0.002251487971015676
-13385.1708984375,0.0022514428227553367
-12923.5576171875,0.002251397976224949
-12492.7216796875,0.0022513532936616846
-12089.6845703125,0.0022513088912995303
-11711.83984375,0.002251264715098926
-11356.8974609375,0.002251220755491497
-11022.8369140625,0.0022511769675711293
-10707.8662109375,0.0022511334631138183
-10410.396484375,0.0022510901979745685
-10129.0078125,0.00225104711093754
-9862.4296875,0.0022510043848891366
-9609.5244140625,0.002250961696353107
-9369.2646484375,0.0022509192871483347
-9140.7265625,0.0022508771473802552
-8923.072265625,0.0022508351831048387
-8715.5419921875,0.0022507934266153455
-8517.4453125,0.002250751836919995
-8328.154296875,0.0022507104941539126
-8147.09326171875,0.0022506693713516823
-7973.73779296875,0.0022506284840619114
-7807.60595703125,0.0022505877225745025
-7648.25537109375,0.0022505471870311795
-7495.27978515625,0.0022505068933067435
-7348.30322265625,0.0022504668385741754
-7206.97998046875,0.002250426981624231
-7070.990234375,0.0022503872443876832
-6940.03759765625,0.0022503477840903007
-6813.8466796875,0.002250308489391015
-6692.1630859375,0.0022502693259306658
-6574.74951171875,0.0022502304806187273
-6461.384765625,0.002250191627369388
-6351.86328125,0.002250153214917606
-6245.99267578125,0.002250114824973248
-6143.59375,0.0022500767004425145
-6044.49755859375,0.002250038731724041
-5948.5478515625,0.002250000965681109
-5855.5966796875,0.0022499633465344533
-5765.505859375,0.002249925976491695
-5678.14501953125,0.0022498887322512993
-5593.39208984375,0.0022498516761164217
-5511.1318359375,0.0022498148151546132
-5431.25634765625,0.0022497781245750864
-5353.6630859375,0.002249741636888564
-5278.255859375,0.002249705304361912
-5204.94287109375,0.002249669105140097
-5133.638671875,0.0022496331364290903
-5064.26220703125,0.0022495973472338136
-4996.7353515625,0.002249561737119341
-4930.98583984375,0.002249526293255352
-4866.9443359375,0.00224949099346062
-4804.54443359375,0.0022494559316791713
-4743.724609375,0.002249420930896103
-4684.42578125,0.0022493861994409936
-4626.5908203125,0.002249351493755254
-4570.16650390625,0.00224931707653422
-4515.10205078125,0.0022492827481468336
-4461.34814453125,0.002249248686369119
-4408.85986328125,0.0022492147039654092
-4357.591796875,0.002249180951746315
-4307.50244140625,0.002249147256828728
-4258.5517578125,0.0022491138042736863
-4210.70068359375,0.002249080435224447
-4163.91357421875,0.0022490473045146866
-4118.154296875,0.0022490142568758016
-4073.39013671875,0.002248981404844912
-4029.588623046875,0.002248948714389051
-3986.718994140625,0.002248916127445592
-3944.751953125,0.0022488837403506546
-3903.6591796875,0.0022488514856907017
-3863.413818359375,0.0022488193867342765
-3823.989990234375,0.0022487874052078867
-3785.3623046875,0.0022487556411445245
-3747.50732421875,0.002248723990923058
-3710.402099609375,0.0022486925421810865
-3674.0244140625,0.0022486612101080294
-3638.35302734375,0.002248629941751639
-3603.36767578125,0.0022485988550856096
-3569.048583984375,0.002248567890090143
-3535.377197265625,0.0022485371035230917
-3502.335205078125,0.002248506489186758
-3469.9052734375,0.0022484759654237754
-3438.070068359375,0.0022484455999738765
-3406.81396484375,0.002248415398708565
-3376.12109375,0.0022483852459375077
-3345.97607421875,0.0022483552688765777
-3316.36474609375,0.00224832548948954
-3287.27294921875,0.002248295773492974
-3258.68701171875,0.00224826625364806
-3230.593994140625,0.002248236835140917
-3202.9814453125,0.0022482075431972557
-3175.836669921875,0.002248178426746258
-3149.148193359375,0.0022481494059789927
-3122.904541015625,0.0022481205436335433
-3097.094482421875,0.002248091747614318
-3071.707763671875,0.002248063175799473
-3046.73388671875,0.0022480346318198966
-3022.162841796875,0.0022480063479261014
-2997.98486328125,0.002247977988572635
-2974.1904296875,0.002247949907898039
-2950.77099609375,0.0022479218933322037
-2927.717529296875,0.002247894024466598
-2905.021484375,0.00224786630706399
-2882.674560546875,0.002247838726445627
-2860.668701171875,0.002247811200410484
-2838.996337890625,0.002247783766688396
-2817.650146484375,0.0022477565790257237
-2796.622314453125,0.0022477294262658685
-2775.906005859375,0.002247702399090911
-2755.494384765625,0.0022476754686870013
-2735.380859375,0.0022476487018152887
-2715.55859375,0.0022476220011610677
-2696.021728515625,0.0022475955001379066
-2676.763916015625,0.002247569017707834
-2657.779296875,0.0022475426375941168
-2639.062255859375,0.0022475165096287795
-2620.606689453125,0.0022474904122169984
-2602.40771484375,0.002247464419078738
-2584.45947265625,0.0022474385937132045
-2566.75732421875,0.002247412791616215
-2549.2958984375,0.002247387170231002
-2532.070556640625,0.002247361619412541
-2515.076416015625,0.002247336184393142
-2498.308837890625,0.002247310872131623
-2481.763427734375,0.002247285686651049
-2465.435546875,0.0022472605519480915
-2449.3212890625,0.0022472355550079634
-2433.416259765625,0.002247210704529184
-2417.71630859375,0.0022471859971410764
-2402.2177734375,0.002247161246804021
-2386.916748046875,0.002247136698163924
-2371.809326171875,0.0022471121863838106
-2356.89208984375,0.0022470879126169807
-2342.1611328125,0.002247063629934167
-2327.61328125,0.0022470394691393807
-2313.244873046875,0.0022470154015275007
-2299.052978515625,0.0022469914951644574
-2285.033935546875,0.002246967614788245
-2271.18505859375,0.0022469439302374894
-2257.5029296875,0.00224692023894538
-2243.984619140625,0.0022468966630174066
-2230.627197265625,0.002246873215936277
-2217.427978515625,0.0022468498946575104
-2204.384033203125,0.0022468266497082646
-2191.49267578125,0.002246803536759078
-2178.751220703125,0.0022467804420767856
-2166.156982421875,0.002246757484178738
-2153.70751953125,0.0022467346390352694
-2141.400390625,0.0022467118713086396
