Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,coupling,energy
Run_FL16_ISC3_RP0.8_coupling_20_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004399188223980274,0.002949645162934341,0.6806547227968822,0.2117825301225611,0.3043943602772011,16,3,0.8,20,14580
Run_FL16_ISC3_RP1_coupling_20_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.0044051409629279155,0.0029486957359439953,0.679467593303521,0.21123508155031762,0.30442543021358864,16,3,1.0,20,14580
Run_FL16_ISC3_RP0.4_coupling_50_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004441270746492454,0.002945126065598399,0.6745662370264764,0.21488843927901455,0.3046324160169508,16,3,0.4,50,14580
Run_FL16_ISC3_RP0.2_coupling_100_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004453157225580202,0.002943650209846488,0.6727726845278171,0.21958651656616948,0.3046977325044096,16,3,0.2,100,14580
Run_FL16_ISC3_RP0.6_coupling_50_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004477924038708494,0.002941090821567302,0.6693607179555803,0.21383928628119933,0.30483800599571975,16,3,0.6,50,14580
Run_FL16_ISC3_RP0.8_coupling_50_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004495800741504857,0.0029376245081843564,0.6648927142837289,0.2128505399440741,0.3049249643659997,16,3,0.8,50,14580
Run_FL16_ISC3_RP1_coupling_50_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004502333634166568,0.0029346147847560634,0.6610155119149298,0.2118967093313601,0.3049415317648936,16,3,1.0,50,14580
Run_FL16_ISC3_RP0.2_coupling_150_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004507027497211378,0.0029384605457875982,0.6654342385362607,0.2219213171604179,0.3050056456945497,16,3,0.2,150,14580
Run_FL16_ISC3_RP0.2_coupling_200_CT_energy_14580,Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct,time_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_90pct_CT_0pct_RP1_10pct_CTRP1_0pct_start_time_0.0.npy,0.004540602449481238,0.0029345506749432447,0.6591502844617515,0.22351595557699122,0.30519079773956265,16,3,0.2,200,14580
Run_FL16_ISC3_RP0.2_coupling_250_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.2,250,14580
Run_FL16_ISC3_RP0.2_coupling_300_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.2,300,14580
Run_FL16_ISC3_RP0.4_coupling_100_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.4,100,14580
Run_FL16_ISC3_RP0.4_coupling_150_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.4,150,14580
Run_FL16_ISC3_RP0.4_coupling_200_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.4,200,14580
Run_FL16_ISC3_RP0.4_coupling_250_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.4,250,14580
Run_FL16_ISC3_RP0.6_coupling_100_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.6,100,14580
Run_FL16_ISC3_RP0.8_coupling_100_CT_energy_14580,Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_100pct_CT_0pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.0045175401854907525,0.002956663467599865,0.6871387426281476,0.16480428392757218,0.30523252820385577,16,3,0.8,100,14580
