Wavelength (nm),Simulation
-376066.25,0.00151155138391904
-187700.34375,0.00151151068064157
-125059.7890625,0.0015114701372851368
-93767.203125,0.001511429844842441
-75000.5,0.0015113897354792451
-62493.05078125,0.001511349880859138
-53560.96484375,0.0015113102174331102
-46862.88671875,0.0015112707877799104
-41653.8515625,0.001511231532088705
-37486.99609375,0.0015111924824531126
-34077.9921875,0.001511153723757104
-31237.322265625,0.0015111150697300524
-28833.798828125,0.0015110766829370718
-26773.720703125,0.0015110384873381704
-24988.38671875,0.0015110004427251517
-23426.267578125,0.001510962696710421
-22047.96484375,0.001510925024273955
-20822.837890625,0.0015108876647502603
-19726.6953125,0.0015108504701622301
-18740.185546875,0.001510813459838976
-17847.646484375,0.001510776613266111
-17036.259765625,0.0015107399422963923
-16295.4384765625,0.0015107035209639594
-15616.361328125,0.0015106672668465679
-14991.619140625,0.0015106312133142863
-14414.939453125,0.0015105953008298062
-13880.9833984375,0.0015105596397149384
-13385.1708984375,0.0015105240658545935
-12923.5576171875,0.0015104887772809789
-12492.7216796875,0.0015104536424284988
-12089.6845703125,0.0015104186405092406
-11711.83984375,0.0015103838541278005
-11356.8974609375,0.001510349178615221
-11022.8369140625,0.0015103148323357461
-10707.8662109375,0.0015102805313702708
-10410.396484375,0.0015102464554248188
-10129.0078125,0.0015102125656588179
-9862.4296875,0.001510178792961581
-9609.5244140625,0.0015101451655061987
-9369.2646484375,0.0015101118073819126
-9140.7265625,0.0015100785850172766
-8923.072265625,0.0015100455126355972
-8715.5419921875,0.0015100126120277115
-8517.4453125,0.0015099799110931847
-8328.154296875,0.0015099472845574986
-8147.09326171875,0.0015099149185089297
-7973.73779296875,0.0015098826833877322
-7807.60595703125,0.0015098505445473873
-7648.25537109375,0.0015098186200595846
-7495.27978515625,0.0015097868961568913
-7348.30322265625,0.001509755236988483
-7206.97998046875,0.0015097237933578928
-7070.990234375,0.0015096924705342433
-6940.03759765625,0.001509661330425394
-6813.8466796875,0.0015096303370171992
-6692.1630859375,0.001509599507541744
-6574.74951171875,0.0015095688471048311
-6461.384765625,0.0015095382940721273
-6351.86328125,0.001509507885734227
-6245.99267578125,0.0015094776566464748
-6143.59375,0.0015094475115309434
-6044.49755859375,0.001509417599641189
-5948.5478515625,0.0015093877984379452
-5855.5966796875,0.0015093581267944475
-5765.505859375,0.0015093286488067552
-5678.14501953125,0.001509299249776656
-5593.39208984375,0.0015092700626373723
-5511.1318359375,0.0015092409433323261
-5431.25634765625,0.0015092119906040954
-5353.6630859375,0.0015091831626945077
-5278.255859375,0.0015091545448522353
-5204.94287109375,0.001509125970135761
-5133.638671875,0.001509097622809861
-5064.26220703125,0.0015090693228949866
-4996.7353515625,0.001509041174513045
-4930.98583984375,0.001509013198178423
-4866.9443359375,0.0015089853005278682
-4804.54443359375,0.0015089576147681292
-4743.724609375,0.0015089300024954805
-4684.42578125,0.0015089025495056438
-4626.5908203125,0.001508875206199392
-4570.16650390625,0.0015088480056732675
-4515.10205078125,0.0015088208983280447
-4461.34814453125,0.0015087939240983944
-4408.85986328125,0.0015087671488127024
-4357.591796875,0.0015087403987824994
-4307.50244140625,0.0015087138511609068
-4258.5517578125,0.001508687380217531
-4210.70068359375,0.0015086610419338528
-4163.91357421875,0.0015086348294717433
-4118.154296875,0.0015086087570545103
-4073.39013671875,0.0015085828435553886
-4029.588623046875,0.0015085569435501745
-3986.718994140625,0.001508531266285607
-3944.751953125,0.0015085056357026648
-3903.6591796875,0.0015084801793552435
-3863.413818359375,0.0015084547530044127
-3823.989990234375,0.001508429494415674
-3785.3623046875,0.0015084043599161779
-3747.50732421875,0.0015083793062889508
-3710.402099609375,0.0015083544356500487
-3674.0244140625,0.0015083296405040882
-3638.35302734375,0.0015083049584151886
-3603.36767578125,0.0015082804065242603
-3569.048583984375,0.0015082559338644508
-3535.377197265625,0.0015082315796410306
-3502.335205078125,0.0015082073642772114
-3469.9052734375,0.0015081832460148198
-3438.070068359375,0.001508159187107386
-3406.81396484375,0.0015081352879386392
-3376.12109375,0.0015081114923447487
-3345.97607421875,0.0015080877950375624
-3316.36474609375,0.0015080642292959728
-3287.27294921875,0.0015080407345797466
-3258.68701171875,0.0015080173344120473
-3230.593994140625,0.0015079940579688907
-3202.9814453125,0.0015079708762566104
-3175.836669921875,0.0015079478760738542
-3149.148193359375,0.0015079248746146477
-3122.904541015625,0.0015079019964241082
-3097.094482421875,0.0015078792781546063
-3071.707763671875,0.0015078566022815021
-3046.73388671875,0.0015078340395566349
-3022.162841796875,0.001507811574480246
-2997.98486328125,0.0015077892748865725
-2974.1904296875,0.001507766956784364
-2950.77099609375,0.0015077448018854943
-2927.717529296875,0.0015077227328735218
-2905.021484375,0.001507700760598277
-2882.674560546875,0.0015076789056653213
-2860.668701171875,0.0015076571505690448
-2838.996337890625,0.001507635458474728
-2817.650146484375,0.0015076138932049053
-2796.622314453125,0.0015075923667756538
-2775.906005859375,0.0015075709572328162
-2755.494384765625,0.0015075496831761022
-2735.380859375,0.0015075284633685431
-2715.55859375,0.0015075073671031766
-2696.021728515625,0.0015074863198899868
-2676.763916015625,0.0015074653449786114
-2657.779296875,0.00150744450518866
-2639.062255859375,0.001507423736150547
-2620.606689453125,0.0015074030746078178
-2602.40771484375,0.0015073825275809508
-2584.45947265625,0.001507362039179641
-2566.75732421875,0.0015073416118656145
-2549.2958984375,0.001507321239165443
-2532.070556640625,0.001507301063676904
-2515.076416015625,0.0015072808872766143
-2498.308837890625,0.0015072608273068633
-2481.763427734375,0.001507240887141128
-2465.435546875,0.0015072209670339036
-2449.3212890625,0.001507201174024698
-2433.416259765625,0.0015071814658082893
-2417.71630859375,0.00150716180254118
-2402.2177734375,0.0015071422651868145
-2386.916748046875,0.001507122746796859
-2371.809326171875,0.0015071034210597841
-2356.89208984375,0.0015070841000638115
-2342.1611328125,0.0015070648703340642
-2327.61328125,0.001507045703970976
-2313.244873046875,0.0015070266217624589
-2299.052978515625,0.0015070076621843836
-2285.033935546875,0.0015069887795580504
-2271.18505859375,0.0015069699236460068
-2257.5029296875,0.0015069511309182728
-2243.984619140625,0.0015069324727649122
-2230.627197265625,0.0015069139275774382
-2217.427978515625,0.0015068953794723627
-2204.384033203125,0.001506876944789049
-2191.49267578125,0.0015068585676371918
-2178.751220703125,0.0015068402653400502
-2166.156982421875,0.0015068220650677896
-2153.70751953125,0.0015068039173123575
-2141.400390625,0.001506785853164446
-2129.233154296875,0.001506767861227174
-2117.203369140625,0.0015067499714971331
-2105.30859375,0.001506732162821711
-2093.546875,0.0015067143113851908
-2081.915771484375,0.0015066966021817483
-2070.413330078125,0.0015066789919032347
-2059.037109375,0.0015066614620411149
-2047.785400390625,0.001506643957069784
-2036.656005859375,0.0015066265302354702
-2025.6468505859375,0.0015066091943026815
-2014.7559814453125,0.0015065919256570797
-2003.981689453125,0.0015065747178252356
-1993.322021484375,0.0015065576193122763
-1982.775146484375,0.0015065405346579247
-1972.33935546875,0.0015065235033409768
-1962.0126953125,0.0015065066352273687
-1951.793701171875,0.0015064897849840701
-1941.6806640625,0.0015064729786871455
-1931.6717529296875,0.0015064562484302122
-1921.765625,0.0015064395875574916
-1911.96044921875,0.0015064229938807833
-1902.2548828125,0.0015064064547267544
-1892.6474609375,0.0015063900678350586
-1883.136474609375,0.0015063736400057655
-1873.7205810546875,0.001506357319945381
-1864.3984375,0.001506341040457894
-1855.1685791015625,0.001506324845580853
-1846.0296630859375,0.0015063087003942145
-1836.9803466796875,0.001506292631156392
-1828.019287109375,0.0015062766366821104
-1819.145263671875,0.0015062607100420659
-1810.35693359375,0.0015062447684493134
-1801.6531982421875,0.0015062290029155818
-1793.03271484375,0.001506213248231681
-1784.4942626953125,0.0015061975413235068
-1776.036865234375,0.001506181896596716
-1767.6591796875,0.0015061663557183072
-1759.3602294921875,0.0015061508352631095
-1751.138671875,0.0015061353821862733
-1742.9937744140625,0.0015061200552045312
-1734.9241943359375,0.001506104646894645
-1726.9290771484375,0.0015060893861971638
-1719.0072021484375,0.0015060741358024637
-1711.15771484375,0.0015060590063058793
-1703.379638671875,0.0015060439491111095
-1695.671875,0.001506028858181571
-1688.0335693359375,0.001506013954525585
-1680.4638671875,0.0015059989998115711
-1672.961669921875,0.001505984127428627
-1665.526123046875,0.0015059693394737796
-1658.156494140625,0.00150595457549797
-1650.8516845703125,0.0015059398577479098
-1643.6109619140625,0.0015059252294405742
-1636.43359375,0.0015059106357797577
-1629.3184814453125,0.001505896170858111
-1622.2650146484375,0.0015058817101305166
-1615.2724609375,0.0015058672866023427
-1608.33984375,0.0015058528876914323
-1601.4664306640625,0.0015058386055757603
-1594.651611328125,0.0015058243554625312
-1587.89453125,0.0015058101597808069
-1581.1944580078125,0.0015057959986544262
-1574.5506591796875,0.0015057819273354694
-1567.9625244140625,0.0015057678978658607
-1561.42919921875,0.0015057538869959622
-1554.9501953125,0.0015057399682128637
-1548.524658203125,0.001505726098299592
-1542.152099609375,0.001505712293941181
-1535.8316650390625,0.0015056985278762913
-1529.5628662109375,0.0015056847844228134
-1523.3450927734375,0.0015056711141829006
-1517.1776123046875,0.0015056575157889273
-1511.059814453125,0.0015056439462974444
-1504.9912109375,0.001505630403155551
-1498.97119140625,0.0015056169206450658
-1492.9991455078125,0.0015056035255714534
-1487.074462890625,0.0015055901791853174
-1481.196533203125,0.0015055768503047912
-1475.364990234375,0.0015055635590795606
-1469.5792236328125,0.001505550343620796
-1463.838623046875,0.0015055371954492184
-1458.142578125,0.0015055240544804692
-1452.4908447265625,0.00150551099456634
-1446.8826904296875,0.0015054979682958037
-1441.317626953125,0.0015054849863363419
-1435.7952880859375,0.0015054720711170165
-1430.3150634765625,0.0015054591977470384
-1424.8765869140625,0.0015054463453473225
-1419.479248046875,0.0015054335307852517
-1414.1226806640625,0.001505420802383603
-1408.8062744140625,0.001505408122122381
-1403.52978515625,0.0015053954880869089
-1398.292724609375,0.0015053829180563217
-1393.094482421875,0.0015053703397288052
-1387.934814453125,0.0015053578209385959
-1382.813232421875,0.001505345380650105
-1377.729248046875,0.0015053329239501046
-1372.6826171875,0.0015053205528634762
-1367.6727294921875,0.0015053082457817325
-1362.6993408203125,0.0015052959257531322
-1357.761962890625,0.0015052837267138224
-1352.8602294921875,0.001505271479807612
-1347.9937744140625,0.0015052593465055134
-1343.1622314453125,0.0015052472497646093
-1338.3651123046875,0.0015052352028052827
-1333.6021728515625,0.0015052231590370832
-1328.873046875,0.0015052111596711324
-1324.1773681640625,0.0015051992770092457
-1319.5146484375,0.0015051874026442882
-1314.884765625,0.001505175455065766
-1310.287109375,0.0015051636902020436
-1305.7216796875,0.001505151940199854
-1301.1878662109375,0.0015051401747890813
-1296.6854248046875,0.0015051284941711048
-1292.2139892578125,0.0015051169019017511
-1287.7733154296875,0.001505105289391537
-1283.3631591796875,0.0015050937312216526
-1278.9830322265625,0.0015050822030483592
-1274.6326904296875,0.001505070741797552
-1270.311767578125,0.0015050593082639604
-1266.0201416015625,0.001505047915120916
-1261.7574462890625,0.0015050365431304826
-1257.5233154296875,0.0015050251762458527
-1253.3175048828125,0.0015050139559707023
-1249.1397705078125,0.0015050026796228964
-1244.98974609375,0.0015049915116822246
-1240.8671875,0.0015049803479356056
-1236.7718505859375,0.001504969230141211
-1232.7034912109375,0.0015049581426169333
-1228.6617431640625,0.001504947112624112
-1224.646484375,0.001504936112354357
-1220.6573486328125,0.0015049251479163964
-1216.694091796875,0.0015049142114691761
-1212.756591796875,0.0015049033192418547
-1208.844482421875,0.0015048924660374548
-1204.9573974609375,0.001504881631068065
-1201.0953369140625,0.0015048708726857168
-1197.2579345703125,0.001504860135182455
-1193.4449462890625,0.001504849416734779
-1189.65625,0.00150483873886
-1185.8914794921875,0.0015048281413104396
-1182.150390625,0.00150481754503733
-1178.432861328125,0.00150480702133956
-1174.73876953125,0.001504796452054265
-1171.067626953125,0.0015047859929084302
-1167.41943359375,0.0015047755124276338
-1163.7938232421875,0.0015047651647888852
-1160.190673828125,0.0015047547713802614
-1156.60986328125,0.001504744417450434
-1153.051025390625,0.0015047341243343648
-1149.5140380859375,0.0015047238583884605
-1145.9986572265625,0.001504713615692194
-1142.504638671875,0.0015047033940573638
-1139.031982421875,0.0015046932116278052
-1135.580322265625,0.0015046831333201535
