564.2078106,0.035039375
570.9721042,0.047825176
577.739663,0.066194649
584.5019217,0.07550077
591.2605838,0.078656759
598.0201923,0.083431204
604.4787207,0.098547581
609.4050195,0.119495795
614.6383737,0.140319926
621.4005377,0.149464202
628.1556506,0.146550981
634.9057945,0.135140868
641.6534775,0.119522769
646.5736874,0.130058916
649.0418862,0.149167485
650.8981887,0.172311403
652.6316054,0.195395978
653.999184,0.223124173
655.0388644,0.250347949
655.8655073,0.263403492
656.4926037,0.285360543
657.1190061,0.306130726
657.7464495,0.328681211
658.3747606,0.35271528
659.0039392,0.378232933
659.633812,0.404937455
660.2642052,0.432532127
660.8945985,0.460126798
661.5251653,0.488018187
661.8456543,0.510865389
662.5763413,0.534899458
663.41461,0.567835034
664.0477795,0.600177176
664.6774788,0.626584981
665.3064839,0.651805917
665.9342744,0.674949836
666.2521606,0.693346284
667.1909832,0.723166332
668.2753494,0.747457627
670.6363366,0.784745763
672.959659,0.757627119
674.1173555,0.737288136
674.6793538,0.698305085
675.8231738,0.654237288
676.3861631,0.616949153
676.9550996,0.589830508
677.2343298,0.566054733
677.9355187,0.539646928
678.4277044,0.50596956
679.1268978,0.476149511
679.7231079,0.445290953
680.3196651,0.415025829
680.9150076,0.382683687
681.5129529,0.354792298
682.6494202,0.327118644
682.709364,0.299899671
683.5108033,0.269857085
684.1080979,0.240853008
684.708993,0.218005806
685.3107557,0.196642189
686.2188656,0.173943346
687.1245028,0.147016287
688.3345352,0.115415937
689.5473004,0.088488878
691.0694061,0.06534496
693.5108136,0.038640439
698.1038445,0.0148896
703.9316283,0.001810453
