name,monomer_pct,a1,tau1,a2,tau2,tau_avg,r2
Experiment,,23.7,0.21,76.3,3.89,3.02,1.0
"Monomer 100%: 100% M, 0% CT, 0% RP1+CT, 0% RP1",100.0,31.532542446534045,0.9412145677539958,68.46745755346593,0.9412172108447463,0.9412163774110336,0.9999991452057491
