97,3.8315,10
138,6.2928,10
213,11.5446,10
260,11.544,10
298,10.6684,10
342,20.2464,10
388,10.5148,10
425,7.3525,10
518,16.6278,10
546,1.2012,10
573,3.9537,10
585,1.4625,10
604,0.9664,10
700,1.12,10
722,2.3104,10
742,23.8182,10
752,15.792,10
795,3.1005,10
916,15.8468,10
986,8.2824,10
995,18.4075,10
1052,10.4148,10
1069,5.5588,10
1110,10.101,10
1143,38.0619,10
1181,16.8883,10
1190,6.426,10
1208,18.12,10
1216,17.3888,10
1235,7.0395,10
1252,6.5104,10
1260,6.552,10
1286,4.7582,10
1304,6.1288,10
1322,32.6534,10
1338,4.2816,10
1354,6.3638,10
1382,7.4628,10
1439,7.7706,10
1487,9.5168,10
1524,7.9248,10
1537,27.3586,10
1553,11.4922,10
1573,5.8201,10
1580,5.846,10
1612,5.9644,10
1645,4.935,10
1673,1.3384,10
