Time (ns),Simulation,Experimental
0.0,1.0,1.0
0.20000000298023224,0.7481621695321836,0.8162022459550816
0.4000000059604645,0.6723166316783017,0.7237208088460545
0.6000000238418579,0.6243084307228527,0.6675520367861444
0.800000011920929,0.5880296628024023,0.6264201927081687
1.0,0.5572423678695456,0.5920651784206551
1.2000000476837158,0.529459010726167,0.5612511915279507
1.399999976158142,0.5036587776714454,0.5326833953772449
1.600000023841858,0.47939137455735176,0.5058180699483611
1.7999999523162842,0.45644827004462485,0.48040359386479176
2.0,0.4347069062430327,0.4563030524846793
2.200000047683716,0.4140807971035932,0.433425853411081
2.4000000953674316,0.39450013714863313,0.41170113651421103
2.5999999046325684,0.3759087768395416,0.39106748388581075
2.799999952316284,0.3582556371194094,0.3714687466516606
3.0,0.3414918225904249,0.3528525362310045
3.200000047683716,0.3255785750747394,0.33516940203808576
3.4000000953674316,0.31045628415762816,0.3183725017448506
3.5999999046325684,0.2960974355317207,0.3024174094840341
3.799999952316284,0.28246272554535073,0.28726188836569
4.0,0.2695067593099327,0.2728658825118882
4.199999809265137,0.25720343762763503,0.25919134363863694
4.400000095367432,0.24551232463001735,0.24620206695817204
4.599999904632568,0.23440834006257502,0.23386377256430954
4.800000190734863,0.2238584661106423,0.2221437780032137
5.0,0.21383446349341986,0.21101115269549536
5.199999809265137,0.2043097541968955,0.20043643358942714
5.400000095367432,0.195259880511722,0.1903916373336143
5.599999904632568,0.18666029043441656,0.18085025500259577
5.800000190734863,0.1784848933889906,0.1717870128107267
6.0,0.17071822069686826,0.16317799189131213
6.199999809265137,0.16333551645224162,0.15500040788442446
6.400000095367432,0.15631619896957638,0.14723262091813333
6.599999904632568,0.14964455457587716,0.13985413125693083
6.800000190734863,0.14330109884631703,0.13284539427276207
7.0,0.1372696837194838,0.1261879132874167
7.199999809265137,0.13153449502004919,0.11986406869541724
7.400000095367432,0.12608061518520278,0.11385712611220325
7.599999904632568,0.12089388790969634,0.10815123279431293
7.800000190734863,0.11596032766758492,0.10273127456354333
