Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,CT,RP,coupling,energy
Run_FL16_ISC5_CT1_RP1_coupling_200_CT_energy_14580,Monomer_40pct_CT_0pct_RP1_0pct_CTRP1_60pct,time_resolved_Monomer_40pct_CT_0pct_RP1_0pct_CTRP1_60pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_0pct_RP1_0pct_CTRP1_60pct_start_time_0.0.npy,0.0007456302472076735,0.0037428884870523713,1.7437727687868028,0.027242958697239205,0.18698071538883637,16,5,1.0,1.0,200,14580
Run_FL16_ISC3_CT0.6_RP1_coupling_250_CT_energy_14580,Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.003648904487185481,0.003489062644545738,0.014157874276613547,0.2039935455275748,0.18737447536754528,16,3,0.6,1.0,250,14580
Run_FL16_ISC5_CT0.4_RP2_coupling_200_CT_energy_14580,Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct,time_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,0.0011279762308727525,0.007484096637243765,4.3303693994278465,0.009570478166456271,0.18754819876719292,16,5,0.4,2.0,200,14580
Run_FL16_ISC5_CT0.6_RP0.6_coupling_200_CT_energy_14580,Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct,time_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,0.0030002422475642098,0.004549924080896574,2.6103127293864583,0.005403170499987195,0.1875764687513096,16,5,0.6,0.6,200,14580
Run_FL16_ISC5_CT8_RP2_coupling_50_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0001328992776845061,0.0037064637703744293,0.4954944615844109,0.03741391292609798,0.18838424844879081,16,5,8.0,2.0,50,14580
Run_FL16_ISC5_CT0.6_RP3_coupling_50_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.000260200195838358,0.0036159250069991763,0.36619780346363096,0.03526598587264209,0.18847261181501582,16,5,0.6,3.0,50,14580
Run_FL16_ISC5_CT1_RP3_coupling_250_CT_energy_14580,Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct,time_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,0.0010537249986766924,0.00978258006536407,5.259732593064175,0.0035185155828763187,0.1885952136320179,16,5,1.0,3.0,250,14580
Run_FL16_ISC3_CT0.6_RP0.4_coupling_300_CT_energy_14580,Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0035657941857675846,0.0034986492068206994,0.017103543669236596,0.213766520246408,0.1886714447298109,16,3,0.6,0.4,300,14580
Run_FL16_ISC5_CT0.8_RP2_coupling_200_CT_energy_14580,Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct,time_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,0.0006688219340808769,0.004992585028577764,2.9502027677721925,0.025068574576210065,0.18876257789064574,16,5,0.8,2.0,200,14580
Run_FL16_ISC5_CT0.2_RP3_coupling_200_CT_energy_14580,Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct,time_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,wavelength_resolved_Monomer_20pct_CT_0pct_RP1_0pct_CTRP1_80pct_start_time_0.0.npy,0.0006230658626032063,0.007694454175609043,4.424125238356629,0.017051736569971984,0.18900402224701326,16,5,0.2,3.0,200,14580
Run_FL16_ISC5_CT0.2_RP0.8_coupling_50_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.00027060782179467573,0.003618735417446441,0.370571949650875,0.03578735695352663,0.1893533014016062,16,5,0.2,0.8,50,14580
Run_FL16_ISC5_CT0.2_RP1_coupling_50_CT_energy_14580,Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct,time_resolved_Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct_start_time_0.0.npy,0.0006187775869532824,0.00352311793371198,0.22160488329396413,0.03138738534042015,0.18935388298479952,16,5,0.2,1.0,50,14580
Run_FL16_ISC5_CT3_RP0.6_coupling_20_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00030777365904106674,0.0038589604600282193,0.677417026535192,0.034448609971889504,0.18937570026195066,16,5,3.0,0.6,20,14580
Run_FL16_ISC5_CT2_RP1_coupling_20_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0002794925441661023,0.003824594810048212,0.6447376089531114,0.03519469909071532,0.1895925754381263,16,5,2.0,1.0,20,14580
Run_FL16_ISC5_CT0.8_RP0.8_coupling_250_CT_energy_14580,Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct,time_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,wavelength_resolved_Monomer_30pct_CT_0pct_RP1_0pct_CTRP1_70pct_start_time_0.0.npy,0.002428074968153013,0.0055262644598199386,3.2928048152129374,0.006505880025928058,0.1896490386176662,16,5,0.8,0.8,250,14580
Run_FL16_ISC5_CT1_RP0.8_coupling_300_CT_energy_14580,Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_0pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.004003389402523288,0.0035129857506651283,0.013531352338934495,0.1864015393291615,0.18974983295218273,16,5,1.0,0.8,300,14580
Run_FL16_ISC5_CT0.4_RP2_coupling_50_CT_energy_14580,Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct,time_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_0pct_RP1_0pct_CTRP1_40pct_start_time_0.0.npy,0.0002670827867351261,0.003615821267473418,0.36604329541380065,0.03620481865957304,0.18979040725310706,16,5,0.4,2.0,50,14580
Run_FL16_ISC5_CT2_RP0.4_coupling_20_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,0.00028855418975644905,0.0038601798445884587,0.678670184593834,0.035183793006909436,0.18990558538073452,16,5,2.0,0.4,20,14580
Run_FL16_ISC5_CT0.8_RP0.4_coupling_250_CT_energy_14580,Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct,time_resolved_Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_0pct_RP1_0pct_CTRP1_50pct_start_time_0.0.npy,0.0007481509354896361,0.0034606656826091614,1.0997708938151685,0.03064497013561472,0.18991893557964526,16,5,0.8,0.4,250,14580
