Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,coupling,CTenergy,model
Run_FL16_ISC2.8_coupling_250_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.005525393233537455,0.002580023385688849,0.12343744498656409,0.244060196472339,0.26016859144063814,16,2.8,250,14580,12
Run_FL16_ISC2.7_coupling_90_CTenergy_14580_model_12,Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.008687268034906043,0.0025294070358076203,0.09802170103216715,0.3402837666719406,0.26118129682561847,16,2.7,90,14580,12
Run_FL16_ISC2.8_coupling_40_CTenergy_14580_model_12,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.01684870105192012,0.0025656558192223553,0.035694541157812384,0.44638476663102883,0.2615929597622242,16,2.8,40,14580,12
Run_FL16_ISC2_coupling_80_CTenergy_14580_model_12,Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.02182320982479701,0.002553919683107574,0.0037358425538909536,0.49804148930415404,0.26293341846441753,16,2.0,80,14580,12
Run_FL16_ISC2.7_coupling_250_CTenergy_14580_model_12,Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_80pct_CT_20pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.006450641595215102,0.002579933904620782,0.12213885329207831,0.267291217100934,0.26470811016588647,16,2.7,250,14580,12
Run_FL16_ISC2.5_coupling_100_CTenergy_14580_model_12,Monomer_70pct_CT_30pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_70pct_CT_30pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_30pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.009979315175658036,0.002599153605300774,0.09816685756376958,0.3523833279802282,0.2687295979354946,16,2.5,100,14580,12
Run_FL16_ISC2.7_coupling_40_CTenergy_14580_model_12,Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_40pct_CT_60pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.018350784601691216,0.002565393601748152,0.03710382430614346,0.46364681742966485,0.26909300610725945,16,2.7,40,14580,12
Run_FL16_ISC2.5_coupling_70_CTenergy_14580_model_12,Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.01221038951600469,0.0025871607409941664,0.08556810057357513,0.39407675527869185,0.27167913433557866,16,2.5,70,14580,12
Run_FL16_ISC2.8_coupling_50_CTenergy_14580_model_12,Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_50pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.011549068091779899,0.0025891609115727366,0.0917584032708874,0.38711224728807975,0.2723776575567821,16,2.8,50,14580,12
Run_FL16_ISC2.5_coupling_90_CTenergy_14580_model_12,Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct,time_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_40pct_RP1_0pct_CTRP1_0pct_start_time_0.0.npy,0.011520087701608932,0.0025291729362940615,0.09471632247088678,0.38305625335502985,0.2732988987119086,16,2.5,90,14580,12
