Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,coupling,energy
Run_FL16_ISC5_RP0.6_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11978135978078439,0.0027778001170172093,0.5020354384423262,0.9495982019065762,4.997961043761788,16,5,0.6,20,14580
Run_FL16_ISC3_RP0.8_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11714134834352694,0.0028265127342673906,0.5627556041779287,0.9430951278522628,5.009467414214934,16,3,0.8,20,14580
Run_FL16_ISC5_RP0.8_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11521050794758794,0.0028683299205052607,0.6092573347277357,0.937773523731716,5.019274513508045,16,5,0.8,20,14580
Run_FL16_ISC3_RP1_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11386759570458627,0.002886222101879599,0.629693019511219,0.9343410962734884,5.023451124394235,16,3,1.0,20,14580
Run_FL16_ISC5_RP0.2_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.12727445354108452,0.0028911142288453088,1.3556055358823789,0.9623230527976504,5.024591090457678,16,5,0.2,50,14580
Run_FL16_ISC5_RP1_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.1113226454628645,0.0029363334034330072,0.6807926930141867,0.9268572260910063,5.03508762504522,16,5,1.0,20,14580
Run_FL16_ISC3_RP2_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.10339097140370343,0.0030368686517459487,0.7772452218607788,0.9021427281125606,5.05816938858724,16,3,2.0,20,14580
Run_FL16_ISC3_RP3_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09777381578009933,0.0030948946627767705,0.8279898702635694,0.8816298922474258,5.071336727549421,16,3,3.0,20,14580
Run_FL16_ISC5_RP2_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09826883936156497,0.00310641709211829,0.8372156027851863,0.8829849978210114,5.073938304045998,16,5,2.0,20,14580
Run_FL16_ISC5_RP3_coupling_20_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09032632676488488,0.0033379860549338247,0.9718832464739794,0.8493872319305088,5.1253447815859,16,5,3.0,20,14580
Run_FL16_ISC3_RP0.4_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11775848083212878,0.0037213665074168063,2.0303066068595848,0.9409503370819526,5.207102802347077,16,3,0.4,50,14580
Run_FL16_ISC5_RP0.4_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11643625747595157,0.003839658741475719,2.0911091475446053,0.9375818408369126,5.231570542692482,16,5,0.4,50,14580
Run_FL16_ISC3_RP0.2_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.12306825118915887,0.004191733846426523,2.939932441329079,0.9504025403291683,5.302504271453852,16,3,0.2,100,14580
Run_FL16_ISC3_RP0.6_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.11012352412313434,0.004285223232831393,2.3591530631908437,0.9217673689884236,5.320896824595963,16,3,0.6,50,14580
Run_FL16_ISC5_RP0.6_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.10779705142512508,0.004455129007757126,2.429721489515018,0.9152690180579119,5.353880990309814,16,5,0.6,50,14580
Run_FL16_ISC3_RP0.8_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.1040812790294289,0.004644571887463577,2.5496767856942655,0.905145065663822,5.390019131397633,16,3,0.8,50,14580
Run_FL16_ISC5_RP0.8_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.10074906839089023,0.004844959875904809,2.6267133540155445,0.895039294071433,5.427555793653394,16,5,0.8,50,14580
Run_FL16_ISC3_RP1_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09917652141313459,0.004888442309274407,2.674619908446956,0.8906037238722709,5.435611567721928,16,3,1.0,50,14580
Run_FL16_ISC5_RP0.2_coupling_100_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.12229101993221239,0.004936970606040279,3.0932013727157344,0.9484091687934132,5.444565666495946,16,5,0.2,100,14580
Run_FL16_ISC5_RP1_coupling_50_CT_energy_14580,Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct,time_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,wavelength_resolved_Monomer_0pct_CT_0pct_RP1_100pct_CTRP1_0pct_start_time_0.0.npy,0.09488845290521745,0.005109080519970343,2.7559386603018625,0.8766128571667803,5.476019933582082,16,5,1.0,50,14580
