Time (ns),Simulation,Experimental
0.0,1.0,1.0
0.20000000298023224,0.4712010891314365,0.8162022459550816
0.4000000059604645,0.42808719924044186,0.7237208088460545
0.6000000238418579,0.38893084544597584,0.6675520367861444
0.800000011920929,0.35337497030453385,0.6264201927081687
1.0,0.32108454782531665,0.5920651784206551
1.2000000476837158,0.2917586435320395,0.5612511915279507
1.399999976158142,0.2651246417984189,0.5326833953772449
1.600000023841858,0.2409318525492519,0.5058180699483611
1.7999999523162842,0.2189583750572539,0.48040359386479176
2.0,0.19899668517216806,0.4563030524846793
2.200000047683716,0.1808657469059792,0.433425853411081
2.4000000953674316,0.1643947226685661,0.41170113651421103
2.5999999046325684,0.1494299116923455,0.39106748388581075
2.799999952316284,0.13583508320769244,0.3714687466516606
3.0,0.12348237273141736,0.3528525362310045
3.200000047683716,0.11225909831279075,0.33516940203808576
3.4000000953674316,0.10206065893847985,0.3183725017448506
3.5999999046325684,0.09279342790442659,0.3024174094840341
3.799999952316284,0.08437232546018367,0.28726188836569
4.0,0.07671889618814325,0.2728658825118882
4.199999809265137,0.06976357405188442,0.25919134363863694
4.400000095367432,0.06344205265988138,0.24620206695817204
4.599999904632568,0.05769584060842952,0.23386377256430954
4.800000190734863,0.05247323174418066,0.2221437780032137
5.0,0.047725918266156825,0.21101115269549536
5.199999809265137,0.04340998990050149,0.20043643358942714
5.400000095367432,0.03948685273181362,0.1903916373336143
5.599999904632568,0.03591979858336323,0.18085025500259577
5.800000190734863,0.03267684779069611,0.1717870128107267
6.0,0.02972828410067302,0.16317799189131213
6.199999809265137,0.02704727323963128,0.15500040788442446
6.400000095367432,0.024609289478033043,0.14723262091813333
6.599999904632568,0.022392312689111887,0.13985413125693083
6.800000190734863,0.020376138119019484,0.13284539427276207
7.0,0.01854239534948868,0.1261879132874167
7.199999809265137,0.016874610961056555,0.11986406869541724
7.400000095367432,0.015357708167400562,0.11385712611220325
7.599999904632568,0.013977944286502808,0.10815123279431293
7.800000190734863,0.012722822078822842,0.10273127456354333
