Run_Name,Ratio,Time_File,Wavelength_File,Time_MSE,Wavelength_MSE,Region_AUC_Error,Tau_Avg_Error,Combined_Score,FL,ISC,RP,CT,energy
Run_FL16_ISC5_RP0.8_coupling_CT_300_RP1_200_CT_energy_14580,Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0011371421214231593,0.0025979332906120325,0.058016508343236566,0.059209411989829694,0.13679761395110623,16,5,1,300,14580
Run_FL16_ISC5_RP0.4_coupling_CT_200_RP1_40_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,8.807554908315997e-05,0.002554145454692384,0.81677664687226,0.0005770172541118858,0.13706979533316166,16,5,1,200,14580
Run_FL16_ISC5_RP0.6_coupling_CT_200_RP1_40_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,8.919486543425891e-05,0.0025552461347889974,0.8224820528312003,0.0005609799891112745,0.1370863701673588,16,5,1,200,14580
Run_FL16_ISC5_RP0.4_coupling_CT_40_RP1_100_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,8.996934625898812e-05,0.0027511072678333102,0.3987566385813634,0.00037848778288758684,0.1375508924426561,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_20_RP1_300_CT_energy_14580,Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,3.183976835441287e-05,0.002881364775916958,0.5834060029523253,0.0019323113429164966,0.1377272945125387,16,5,1,20,14580
Run_FL16_ISC5_RP0.8_coupling_CT_40_RP1_150_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.0001094412011731005,0.002723270207007852,0.3474881770179609,0.0002001556499675447,0.13779125840769432,16,5,1,40,14580
Run_FL16_ISC5_RP0.4_coupling_CT_20_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,9.449924611750591e-05,0.0029186667611349757,0.6407447679862395,0.00040102411192450866,0.13828597398616238,16,5,1,20,14580
Run_FL16_ISC5_RP0.4_coupling_CT_40_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,9.449924611750591e-05,0.0029186667611349757,0.6407447679862395,0.00040102411192450866,0.13828597398616238,16,5,1,40,14580
Run_FL16_ISC5_RP0.4_coupling_CT_200_RP1_60_CT_energy_14580,Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct,time_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_0pct_RP1_0pct_CTRP1_30pct_start_time_0.0.npy,9.449924611750591e-05,0.0029186667611349757,0.6407447679862395,0.00040102411192450866,0.13828597398616238,16,5,1,200,14580
Run_FL16_ISC5_RP0.6_coupling_CT_40_RP1_100_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00010091437285013778,0.002743692926127133,0.3860536274348533,0.0008913227679107741,0.1384875919930589,16,5,1,40,14580
Run_FL16_ISC5_RP1_coupling_CT_40_RP1_200_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00013081172339192757,0.0027034673290102867,0.3040082355265945,0.00047916063103212446,0.1386314561385773,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_40_RP1_80_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.00011328325724672347,0.002761507550170548,0.4162834400019765,0.0007005123860868172,0.13865576125216275,16,5,1,40,14580
Run_FL16_ISC5_RP0.2_coupling_CT_200_RP1_250_CT_energy_14580,Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_20pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,3.1496888252780585e-05,0.0025416231202420978,0.2668094239681838,0.0036280785780086707,0.13879726600702924,16,5,1,200,14580
Run_FL16_ISC5_RP1_coupling_CT_250_RP1_250_CT_energy_14580,Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_70pct_CT_10pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.0013124066400745044,0.0025965586842191884,0.05678956196333779,0.06013079849721393,0.13888945498996355,16,5,1,250,14580
Run_FL16_ISC5_RP3_coupling_CT_20_RP1_100_CT_energy_14580,Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct,time_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,wavelength_resolved_Monomer_60pct_CT_30pct_RP1_0pct_CTRP1_10pct_start_time_0.0.npy,0.0001530105719782365,0.002780960811225984,0.4492362407658611,6.444600627707838e-05,0.13893864780943205,16,5,1,20,14580
Run_FL16_ISC5_RP0.2_coupling_CT_200_RP1_40_CT_energy_14580,Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct,time_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,wavelength_resolved_Monomer_50pct_CT_30pct_RP1_0pct_CTRP1_20pct_start_time_0.0.npy,0.00012046299292583429,0.0025528825101761494,0.8103802811145979,0.0015744220125502102,0.13919691079611898,16,5,1,200,14580
