Name,Monomer %,a1 (%),τ1 (ns),a2 (%),τ2 (ns),τavg (ns),R²
Experiment,-,23.7,0.21,76.3,3.89,3.02,1.000
"Monomer 100%: 100% M, 0% CT, 0% RP1+CT, 0% RP1",100,31.5,0.94,68.5,0.94,0.94,1.000
